Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
942830,"September 26, 2017",Maryland,Baltimore,3200 block of Lyndale Ave,2,2,0,0,0,
941144,"September 24, 2017",Maryland,Baltimore,500 block of E. Patapsco Avenue,0,4,0,0,0,
1974755,"September 24, 2017",Pennsylvania,Philadelphia,3400 block of H St,0,4,0,0,0,
940068,"September 23, 2017",Illinois,Danville,Seminary St and Jackson St,0,5,0,0,0,
940142,"September 23, 2017",Connecticut,Hartford,1164 Albany Ave,2,2,0,0,1,
935928,"September 17, 2017",Virginia,Petersburg,300 Mistletoe St,1,4,0,0,3,
934036,"September 16, 2017",South Carolina,Columbia,920 Lady Street,0,7,0,1,4,
932906,"September 13, 2017",Pennsylvania,York,400 block of S Duke St,0,4,0,0,0,
932619,"September 13, 2017",Pennsylvania,Philadelphia,3100 block of N 2nd St,0,4,0,0,0,
921733,"August 27, 2017",California,Sacramento,7760 24th St,1,4,0,0,3,
917713,"August 21, 2017",Maryland,Baltimore,Cottage Avenue and Park Heights Avenue,1,3,0,0,1,
916551,"August 19, 2017",Ohio,Cleveland,11143 Superior Ave,1,4,0,0,3,
912805,"August 13, 2017",Pennsylvania,Philadelphia,39th St and Melon St,0,5,0,0,0,
912322,"August 13, 2017",California,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4,0,0,0,
912375,"August 13, 2017",Virginia,Suffolk,8700 block of Quay Rd,0,4,0,0,0,
907555,"August 6, 2017",New York,Bronx,Wickham Ave,0,6,0,0,1,
907546,"August 6, 2017",New York,Bronx,Unionport Rd,0,4,0,0,0,
907857,"August 6, 2017",California,Oakland,1000 block of 106th Avenue,0,7,0,0,0,
907611,"August 5, 2017",South Carolina,Allendale,300 block of Ellis St,1,3,0,0,0,
906126,"August 3, 2017",District of Columbia,Washington,3426 18th St NE,1,3,0,0,0,
904329,"August 2, 2017",Maryland,Baltimore,900 block of N Broadway,0,4,0,0,0,
904026,"August 1, 2017",California,Fresno,Mariposa St and A St,0,7,0,0,0,
903090,"July 31, 2017",Illinois,Decatur,Jasper St and Main St,0,4,0,0,0,
902187,"July 30, 2017",Texas,El Paso,1810 George Dieter Dr,1,3,0,0,1,
901549,"July 30, 2017",Virginia,Norfolk,1500 block of Azalea Garden Rd,1,5,0,0,1,
901083,"July 29, 2017",New York,Buffalo,200 block of Carl St,1,4,0,0,0,
893690,"July 19, 2017",Virginia,Richmond,2300 block of Bethel St,0,5,0,0,0,
894504,"July 19, 2017",California,Los Angeles,Imperial Hwy and Broadway,1,3,0,0,0,
893726,"July 18, 2017",Wisconsin,Milwaukee,3000 block of N 39th St,0,4,0,0,0,
891291,"July 15, 2017",Pennsylvania,Philadelphia,21st and Fitzwater,1,3,0,0,0,
883058,"July 5, 2017",Maine,Madison,300 block of Russell Rd,3,1,1,0,0,
882321,"July 4, 2017",Virginia,Hampton,500 block of Patterson Ave,1,4,0,0,0,
883489,"July 4, 2017",North Carolina,Raleigh,105 E South St,1,3,0,0,2,
880738,"July 2, 2017",South Carolina,Greenwood,SC 72 Bypass,0,4,0,0,1,
880813,"July 1, 2017",California,Oakland,3200 Humboldt Ave,0,4,0,0,0,
879412,"June 30, 2017",New York,Bronx,1650 Grand Concourse,1,6,1,0,0,
876010,"June 25, 2017",District of Columbia,Washington,5900 block of Southern Ave SE,0,4,0,0,0,
870222,"June 18, 2017",District of Columbia,Washington,3100 block of Buena Vista Terrace SE,0,4,0,0,0,
869357,"June 17, 2017",Ohio,Columbus,6252 Busch Blvd,1,4,0,0,0,
868042,"June 15, 2017",Virginia,Richmond,4053 Old Brook Road,1,3,0,0,1,
866739,"June 14, 2017",Virginia,Alexandria,420 E Monroe Ave,0,5,1,0,0,
866933,"June 14, 2017",California,San Francisco,720 San Bruno,3,2,1,0,0,
866412,"June 13, 2017",Maryland,Baltimore,3300 block of Ayrdale Avenue,0,4,0,0,0,
866448,"June 13, 2017",Maryland,Baltimore,1200 block of Bonaparte Avenue,2,2,0,0,0,
865371,"June 11, 2017",Texas,Houston,505 Cypress Station Dr,0,4,0,0,0,
858877,"June 2, 2017",California,Los Angeles,89th St and Broadway,1,3,0,0,0,
853119,"May 27, 2017",District of Columbia,Washington,100 block of Q St NW,1,7,0,0,0,
852676,"May 26, 2017",Florida,Miami,2730 NW 167th St,0,4,0,0,0,
848680,"May 21, 2017",Iowa,Des Moines,4300 Beaver Dr,1,3,0,0,0,
849215,"May 21, 2017",Arizona,Mesa,441 N Val Vista Dr,0,4,0,0,0,
848292,"May 20, 2017",Pennsylvania,Philadelphia,2100 block of W Huntingdon St,0,10,0,0,2,
833152,"May 1, 2017",Texas,Dallas,3200 block of Reynolds Ave,1,3,1,0,0,
832679,"April 30, 2017",California,San Diego,9080 Judicial Dr,1,6,1,0,0,
832290,"April 29, 2017",California,Sacramento,3800 block of 26th Avenue,0,5,0,0,0,
832063,"April 29, 2017",Virginia,Virginia Beach,200 block of 18th St,0,4,0,0,0,
831201,"April 28, 2017",Pennsylvania,Chester,5 E 21st St,0,4,0,0,0,
829073,"April 26, 2017",Florida,Miami,SW 264th St and 139th Ave,0,4,0,0,2,
821371,"April 16, 2017",Ohio,Columbus,1710 Cleveland Av,0,9,0,0,0,
821055,"April 15, 2017",Pennsylvania,Philadelphia,5900 block of Hammond St,0,4,0,0,0,
821651,"April 15, 2017",Illinois,Harvey,14600 block of Myrtle Avenue,0,4,0,0,0,
813877,"April 7, 2017",North Carolina,Hickory,1423 29th Ave Dr NE,3,1,0,0,2,
813821,"April 7, 2017",Texas,Houston,3829 Mount Pleasant St,4,0,1,0,0,
810756,"April 3, 2017",Pennsylvania,Philadelphia,1100 block of W Stiles St,3,1,0,0,0,
811089,"April 3, 2017",Texas,Lubbock,5401 Ave Q,0,7,0,0,1,
809683,"April 2, 2017",Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,0,5,0,0,0,
809815,"April 1, 2017",California,Pittsburg,100 block of Madoline Street,0,5,0,0,1,
803689,"March 26, 2017",Ohio,Cleveland,E 75th St,2,2,0,0,0,
803822,"March 26, 2017",Texas,Houston,5619 Aldine Bender Rd,2,4,0,0,1,
802837,"March 25, 2017",Ohio,Cleveland,E 79th St and Woodland Ave,2,2,0,0,3,
802425,"March 24, 2017",California,Fresno,300 block of South Villa Avenue,1,4,0,0,1,
789424,"March 5, 2017",Georgia,Columbus,600 block of 32nd Street,0,4,0,0,0,
787801,"March 4, 2017",California,Sacramento,2500 block of 33rd St,0,4,0,0,0,
786876,"March 3, 2017",Pennsylvania,Philadelphia,7165 Germantown Ave,0,4,0,0,0,
787435,"March 3, 2017",California,Riverside,8300 block of Trey Ave,0,5,0,0,0,
783963,"February 27, 2017",Virginia,Newport News,11810 Fountain Way,0,4,0,0,0,
783102,"February 25, 2017",Ohio,Warren,1564 Niles Cortland Rd SE,2,3,0,0,1,
780036,"February 21, 2017",Ohio,Cleveland,16700 Lorain Ave,0,4,0,0,2,
778941,"February 20, 2017",Ohio,Cleveland,1082 East 105th Street,0,5,0,0,0,
778182,"February 19, 2017",Virginia,Norfolk,Church Street and East Virginia Beach Blvd,1,3,0,0,0,
777876,"February 18, 2017",Pennsylvania,Philadelphia,50 block of N Conestoga St,0,4,0,0,0,
775903,"February 15, 2017",California,Salinas,30 Soledad Street,0,4,0,0,1,
773908,"February 12, 2017",Florida,Greenville,Church Ave and Obadiah St,0,5,0,0,0,
769889,"February 8, 2017",Ohio,Cleveland,16379 Euclid Ave,1,4,0,0,1,
769511,"February 7, 2017",South Carolina,Columbia,5500 block of Fairfield Road,0,4,0,0,0,
765153,"January 31, 2017",District of Columbia,Washington,2900 block of Martin Luther King Jr Ave SE,0,4,0,0,0,
760482,"January 26, 2017",Georgia,Albany,1510 Maryland Drive,2,3,0,0,1,
756015,"January 20, 2017",California,Fresno,4700 block of E Montecito Ave,0,4,0,0,0,
752756,"January 16, 2017",Texas,Houston,8535 Martin Luther King Boulevard,0,4,0,0,0,
752222,"January 16, 2017",Florida,Miami,6011 NW 32nd Ave,0,8,0,0,4,
749769,"January 12, 2017",California,Salinas,500 block of Sunrise St,2,2,0,0,0,
742001,"January 3, 2017",Texas,Allen,500 block of Hawthorne Drive,0,4,0,0,1,
739451,"January 1, 2017",Texas,Dallas,9220 Skillman Street,1,3,0,0,0,
739766,"January 1, 2017",Florida,Miami,8000 block of NW 14th Ave,0,7,0,0,0,
1289686,"December 31, 2018",Ohio,Cleveland,4462 Denison Ave,3,2,0,0,0,
